Date,Open,High,Low,Close,Adj Close,Volume
2022-09-01,1460.050048828125,1468.0999755859375,1451.050048828125,1464.199951171875,1448.371337890625,8140604
2022-09-02,1478.0,1478.0,1448.0,1453.0,1437.29248046875,5175653
2022-09-05,1451.0,1467.0,1446.3499755859375,1461.300048828125,1445.5028076171875,3669352
2022-09-06,1461.300048828125,1470.0,1445.449951171875,1455.0999755859375,1439.3697509765625,3428442
2022-09-07,1440.0,1465.75,1438.050048828125,1457.6500244140625,1441.8922119140625,3600574
2022-09-08,1475.0,1481.0999755859375,1463.5999755859375,1475.9000244140625,1459.9449462890625,4061475
2022-09-09,1488.0,1520.0,1480.0,1511.6500244140625,1495.3084716796875,4816910
2022-09-12,1525.800048828125,1545.9000244140625,1521.1500244140625,1536.199951171875,1519.593017578125,5494819
2022-09-13,1551.9000244140625,1553.0,1541.300048828125,1544.949951171875,1528.2484130859375,4947158
2022-09-14,1497.0,1498.949951171875,1472.0,1475.4000244140625,1459.4503173828125,14332197
2022-09-15,1475.0,1475.199951171875,1429.050048828125,1432.800048828125,1417.3109130859375,12784100
2022-09-16,1425.0,1425.0,1368.3499755859375,1377.050048828125,1362.16357421875,20464045
2022-09-19,1392.0,1406.0,1380.5999755859375,1390.300048828125,1375.270263671875,6595241
2022-09-20,1407.949951171875,1413.550048828125,1385.0999755859375,1388.550048828125,1373.5391845703125,7219797
2022-09-21,1379.9000244140625,1388.800048828125,1368.4000244140625,1377.25,1362.361328125,7917054
2022-09-22,1366.3499755859375,1383.949951171875,1360.0,1367.949951171875,1353.161865234375,9168498
2022-09-23,1367.5,1394.800048828125,1362.0,1365.449951171875,1350.6888427734375,10426200
2022-09-26,1360.0,1399.449951171875,1355.0,1380.25,1365.328857421875,9414587
2022-09-27,1393.449951171875,1406.5,1378.0,1393.550048828125,1378.485107421875,8561254
2022-09-28,1379.0,1405.8499755859375,1377.0,1394.699951171875,1379.6226806640625,7022098
2022-09-29,1404.9000244140625,1409.8499755859375,1393.0,1398.6500244140625,1383.530029296875,6119965
2022-09-30,1388.949951171875,1419.300048828125,1376.0,1413.449951171875,1398.169921875,8120130
2022-10-03,1412.0,1412.0,1386.0,1393.75,1378.6829833984375,4943169
2022-10-04,1419.699951171875,1432.25,1414.0,1429.4000244140625,1413.9476318359375,6631341
2022-10-06,1445.0,1459.800048828125,1444.0999755859375,1455.1500244140625,1439.419189453125,6180672
2022-10-07,1446.3499755859375,1457.8499755859375,1440.1500244140625,1451.199951171875,1435.5118408203125,3994466
